ID,Check,CheckingPeer,State,Time
1,1,cathleeb,Start,12:00:00
2,1,cathleeb,Success,13:00:00
3,2,cathleeb,Start,09:00:00
4,2,cathleeb,Failure,10:00:00
5,3,littleca,Start,10:00:00
6,3,littleca,Failure,11:00:00
7,4,antoneo,Start,22:00:00
8,4,antoneo,Success,23:00:00
9,5,asajjmal,Start,18:00:00
10,5,asajjmal,Success,19:00:00
11,6,gerardba,Start,07:00:00
12,6,gerardba,Success,08:00:00
13,7,antoneo,Start,14:00:00
14,7,antoneo,Success,15:00:00
15,8,kathyhan,Start,01:00:00
16,8,kathyhan,Failure,02:00:00
17,9,maelyspe,Start,22:00:00
18,9,maelyspe,Success,23:00:00
19,10,maelyspe,Start,17:00:00
20,10,maelyspe,Success,18:00:00
21,11,kathyhan,Start,05:00:00
22,11,kathyhan,Success,06:00:00
23,12,littleca,Start,12:00:00
24,12,littleca,Success,13:00:00
25,13,gerardba,Start,14:00:00
26,13,gerardba,Failure,15:00:00
27,14,maelyspe,Start,21:00:00
28,14,maelyspe,Success,22:00:00
